[ default 2023-04-26 수요일 15:35:31 043 ] 프로그램 시작
[ default 2023-04-26 수요일 16:09:22 988 ] CameraControl -> Start 
[ default 2023-04-26 수요일 16:09:23 073 ] CameraControl -> CameraOpen 
[ default 2023-04-26 수요일 16:09:23 478 ] CameraControl -> open 
[ default 2023-04-26 수요일 16:09:23 500 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-26 수요일 16:09:23 512 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-26 수요일 16:09:23 515 ] CameraControl -> Start 
[ default 2023-04-26 수요일 16:09:23 597 ] Settings_Page -> XMLSave 
[ default 2023-04-26 수요일 16:09:23 639 ] VideoCheck_Page -> PanelSettings 
[ default 2023-04-26 수요일 16:09:23 750 ] VideoAnalysis_Page -> PanelSettings 
[ default 2023-04-26 수요일 16:09:46 628 ] Form1 -> Form1_FormClosing 
[ default 2023-04-26 수요일 16:09:46 634 ] RealTimeView_Page -> CameraClose 
[ default 2023-04-26 수요일 16:09:46 640 ] CameraControl -> Stop 
[ default 2023-04-26 수요일 16:09:46 785 ] CameraControl -> Close 
[ default 2023-04-26 수요일 16:09:46 814 ] CameraControl -> Stop 
[ default 2023-04-26 수요일 16:09:48 159 ] CameraControl -> Close 
[ default 2023-04-26 수요일 16:09:48 171 ] CameraControl -> Stop 
[ default 2023-04-26 수요일 16:09:48 492 ] CameraControl -> Close 
[ default 2023-04-26 수요일 16:09:48 506 ] VideoCheck_Page -> VideoClose 
[ default 2023-04-26 수요일 16:09:48 507 ] VideoAnalysis_Page -> VideoClose 
[ default 2023-04-26 수요일 16:10:49 228 ] 프로그램 시작
[ default 2023-04-26 수요일 16:10:51 576 ] Form1 -> Form1_Shown 
[ default 2023-04-26 수요일 16:10:52 330 ] RealTimeView_Page -> PanelSettings 
[ default 2023-04-26 수요일 16:10:52 687 ] RealTimeView_Page -> RealTimeView_Page_Load 
[ default 2023-04-26 수요일 16:10:52 687 ] RealTimeView_Page -> VideoSetLoad 
[ default 2023-04-26 수요일 16:10:52 689 ] CameraControl -> CameraOpen 
[ default 2023-04-26 수요일 16:10:52 959 ] CameraControl -> open 
[ default 2023-04-26 수요일 16:10:52 991 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-26 수요일 16:10:53 008 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-26 수요일 16:10:53 022 ] CameraControl -> Start 
[ default 2023-04-26 수요일 16:10:53 069 ] CameraControl -> CameraOpen 
[ default 2023-04-26 수요일 16:10:53 348 ] CameraControl -> open 
[ default 2023-04-26 수요일 16:10:53 361 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-26 수요일 16:10:53 370 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-26 수요일 16:10:53 373 ] CameraControl -> Start 
[ default 2023-04-26 수요일 16:10:53 452 ] CameraControl -> CameraOpen 
[ default 2023-04-26 수요일 16:10:53 830 ] CameraControl -> open 
[ default 2023-04-26 수요일 16:10:53 860 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-26 수요일 16:10:53 877 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-26 수요일 16:10:53 894 ] CameraControl -> Start 
[ default 2023-04-26 수요일 16:10:54 013 ] Settings_Page -> XMLSave 
[ default 2023-04-26 수요일 16:10:54 057 ] VideoCheck_Page -> PanelSettings 
[ default 2023-04-26 수요일 16:10:54 180 ] VideoAnalysis_Page -> PanelSettings 
[ default 2023-04-26 수요일 16:11:15 644 ] Form1 -> Form1_FormClosing 
[ default 2023-04-26 수요일 16:11:15 650 ] RealTimeView_Page -> CameraClose 
[ default 2023-04-26 수요일 16:11:15 655 ] CameraControl -> Stop 
[ default 2023-04-26 수요일 16:11:17 109 ] CameraControl -> Close 
[ default 2023-04-26 수요일 16:11:17 127 ] CameraControl -> Stop 
[ default 2023-04-26 수요일 16:11:18 470 ] CameraControl -> Close 
[ default 2023-04-26 수요일 16:11:18 483 ] CameraControl -> Stop 
[ default 2023-04-26 수요일 16:11:18 804 ] CameraControl -> Close 
[ default 2023-04-26 수요일 16:11:18 815 ] VideoCheck_Page -> VideoClose 
[ default 2023-04-26 수요일 16:11:18 816 ] VideoAnalysis_Page -> VideoClose 
[ default 2023-04-26 수요일 16:11:18 951 ] CameraControl -> Finalize 
[ default 2023-04-26 수요일 16:11:18 951 ] CameraControl -> Close 
[ default 2023-04-26 수요일 16:11:18 954 ] CameraControl -> Finalize 
[ default 2023-04-26 수요일 16:11:18 955 ] CameraControl -> Close 
[ default 2023-04-26 수요일 16:11:18 956 ] CameraControl -> Finalize 
[ default 2023-04-26 수요일 16:11:18 956 ] CameraControl -> Close 
[ default 2023-04-26 수요일 16:11:25 257 ] 프로그램 시작
[ default 2023-04-26 수요일 16:11:27 583 ] Form1 -> Form1_Shown 
[ default 2023-04-26 수요일 16:11:28 017 ] RealTimeView_Page -> PanelSettings 
[ default 2023-04-26 수요일 16:11:28 296 ] RealTimeView_Page -> RealTimeView_Page_Load 
[ default 2023-04-26 수요일 16:11:28 297 ] RealTimeView_Page -> VideoSetLoad 
[ default 2023-04-26 수요일 16:11:28 298 ] CameraControl -> CameraOpen 
[ default 2023-04-26 수요일 16:11:28 555 ] CameraControl -> open 
[ default 2023-04-26 수요일 16:11:28 588 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-26 수요일 16:11:28 608 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-26 수요일 16:11:28 618 ] CameraControl -> Start 
