[ default 2023-04-28 금요일 14:18:46 510 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-28 금요일 14:18:46 532 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-28 금요일 14:18:46 555 ] CameraControl -> Start 
[ default 2023-04-28 금요일 14:18:46 625 ] CameraControl -> CameraOpen 
[ default 2023-04-28 금요일 14:18:47 025 ] CameraControl -> open 
[ default 2023-04-28 금요일 14:18:47 035 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-28 금요일 14:18:47 043 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-28 금요일 14:18:47 046 ] CameraControl -> Start 
[ default 2023-04-28 금요일 14:18:47 147 ] CameraControl -> CameraOpen 
[ default 2023-04-28 금요일 14:18:47 721 ] CameraControl -> open 
[ default 2023-04-28 금요일 14:18:47 737 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-28 금요일 14:18:47 757 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-28 금요일 14:18:47 786 ] CameraControl -> Start 
[ default 2023-04-28 금요일 14:18:47 999 ] Settings_Page -> XMLSave 
[ default 2023-04-28 금요일 14:18:48 076 ] VideoCheck_Page -> PanelSettings 
[ default 2023-04-28 금요일 14:18:48 285 ] VideoAnalysis_Page -> PanelSettings 
[ default 2023-04-28 금요일 14:18:51 838 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 14:18:51 873 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 14:18:52 009 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 14:18:52 192 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 14:18:52 198 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 14:18:52 200 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 14:18:52 313 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 14:18:52 376 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 14:18:52 544 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 14:18:52 546 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 14:18:52 548 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 14:18:52 656 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 14:18:52 752 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 14:18:52 913 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 14:18:52 916 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 14:18:53 161 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-28 금요일 14:18:53 240 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-28 금요일 14:18:53 345 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-28 금요일 14:18:53 423 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-28 금요일 14:18:53 426 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-28 금요일 14:18:53 427 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-28 금요일 14:18:54 587 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-28 금요일 14:18:54 591 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-28 금요일 14:18:54 680 ] Settings_Page -> WorkUserSet 
[ default 2023-04-28 금요일 14:20:40 783 ] 프로그램 시작
[ default 2023-04-28 금요일 14:20:43 497 ] Form1 -> Form1_Shown 
[ default 2023-04-28 금요일 14:20:44 166 ] RealTimeView_Page -> PanelSettings 
[ default 2023-04-28 금요일 14:20:44 538 ] RealTimeView_Page -> RealTimeView_Page_Load 
[ default 2023-04-28 금요일 14:20:44 540 ] RealTimeView_Page -> VideoSetLoad 
[ default 2023-04-28 금요일 14:20:44 541 ] RealTimeView_Page -> cb_TextView_SelectedValueChanged 
[ default 2023-04-28 금요일 14:20:44 543 ] Settings_Page -> XMLSave 
[ default 2023-04-28 금요일 14:20:44 545 ] CameraControl -> CameraOpen 
[ default 2023-04-28 금요일 14:20:44 900 ] CameraControl -> open 
[ default 2023-04-28 금요일 14:20:44 931 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-28 금요일 14:20:44 944 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-28 금요일 14:20:44 956 ] CameraControl -> Start 
[ default 2023-04-28 금요일 14:20:45 027 ] CameraControl -> CameraOpen 
[ default 2023-04-28 금요일 14:20:45 307 ] CameraControl -> open 
[ default 2023-04-28 금요일 14:20:45 324 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-28 금요일 14:20:45 332 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-28 금요일 14:20:45 334 ] CameraControl -> Start 
[ default 2023-04-28 금요일 14:20:45 418 ] CameraControl -> CameraOpen 
[ default 2023-04-28 금요일 14:20:46 051 ] CameraControl -> open 
[ default 2023-04-28 금요일 14:20:46 069 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-28 금요일 14:20:46 079 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-28 금요일 14:20:46 088 ] CameraControl -> Start 
[ default 2023-04-28 금요일 14:20:46 230 ] Settings_Page -> XMLSave 
[ default 2023-04-28 금요일 14:20:46 285 ] VideoCheck_Page -> PanelSettings 
[ default 2023-04-28 금요일 14:20:46 444 ] VideoAnalysis_Page -> PanelSettings 
[ default 2023-04-28 금요일 14:20:49 957 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 14:20:49 968 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 14:20:50 049 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 14:20:50 224 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 14:20:50 233 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 14:20:50 235 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 14:20:50 320 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 14:20:50 384 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 14:20:50 552 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 14:20:50 553 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 14:20:50 555 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 14:20:50 656 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 14:20:50 712 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 14:20:50 914 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 14:20:50 916 ] Settings_Page -> WorkUserChange 
