[ default 2023-04-27 목요일 09:38:55 604 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:38:55 606 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:38:55 686 ] Settings_Page -> WorkUserSet 
[ default 2023-04-27 목요일 09:44:52 014 ] 프로그램 시작
[ default 2023-04-27 목요일 09:44:54 340 ] Form1 -> Form1_Shown 
[ default 2023-04-27 목요일 09:44:54 845 ] RealTimeView_Page -> PanelSettings 
[ default 2023-04-27 목요일 09:44:55 145 ] RealTimeView_Page -> RealTimeView_Page_Load 
[ default 2023-04-27 목요일 09:44:55 146 ] RealTimeView_Page -> VideoSetLoad 
[ default 2023-04-27 목요일 09:44:55 147 ] RealTimeView_Page -> cb_TextView_SelectedValueChanged 
[ default 2023-04-27 목요일 09:44:55 148 ] Settings_Page -> XMLSave 
[ default 2023-04-27 목요일 09:44:55 149 ] CameraControl -> CameraOpen 
[ default 2023-04-27 목요일 09:44:55 414 ] CameraControl -> open 
[ default 2023-04-27 목요일 09:44:55 441 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-27 목요일 09:44:55 453 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-27 목요일 09:44:55 462 ] CameraControl -> Start 
[ default 2023-04-27 목요일 09:44:55 511 ] CameraControl -> CameraOpen 
[ default 2023-04-27 목요일 09:44:55 818 ] CameraControl -> open 
[ default 2023-04-27 목요일 09:44:55 827 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-27 목요일 09:44:55 835 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-27 목요일 09:44:55 837 ] CameraControl -> Start 
[ default 2023-04-27 목요일 09:44:55 894 ] CameraControl -> CameraOpen 
[ default 2023-04-27 목요일 09:44:57 432 ] CameraControl -> open 
[ default 2023-04-27 목요일 09:44:57 454 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-27 목요일 09:44:57 461 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-27 목요일 09:44:57 464 ] CameraControl -> Start 
[ default 2023-04-27 목요일 09:44:57 593 ] Settings_Page -> XMLSave 
[ default 2023-04-27 목요일 09:44:57 624 ] VideoCheck_Page -> PanelSettings 
[ default 2023-04-27 목요일 09:44:57 722 ] VideoAnalysis_Page -> PanelSettings 
[ default 2023-04-27 목요일 09:45:00 584 ] Form1 -> Form1_FormClosing 
[ default 2023-04-27 목요일 09:45:00 593 ] RealTimeView_Page -> CameraClose 
[ default 2023-04-27 목요일 09:45:00 596 ] CameraControl -> Stop 
[ default 2023-04-27 목요일 09:45:00 819 ] CameraControl -> Close 
[ default 2023-04-27 목요일 09:45:00 835 ] CameraControl -> Stop 
[ default 2023-04-27 목요일 09:45:02 178 ] CameraControl -> Close 
[ default 2023-04-27 목요일 09:45:02 196 ] CameraControl -> Stop 
[ default 2023-04-27 목요일 09:45:02 538 ] CameraControl -> Close 
[ default 2023-04-27 목요일 09:45:02 555 ] VideoCheck_Page -> VideoClose 
[ default 2023-04-27 목요일 09:45:02 556 ] VideoAnalysis_Page -> VideoClose 
[ default 2023-04-27 목요일 09:45:02 693 ] CameraControl -> Finalize 
[ default 2023-04-27 목요일 09:45:02 694 ] CameraControl -> Close 
[ default 2023-04-27 목요일 09:45:02 700 ] CameraControl -> Finalize 
[ default 2023-04-27 목요일 09:45:02 702 ] CameraControl -> Close 
[ default 2023-04-27 목요일 09:45:02 702 ] CameraControl -> Finalize 
[ default 2023-04-27 목요일 09:45:02 702 ] CameraControl -> Close 
[ default 2023-04-27 목요일 09:45:59 324 ] 프로그램 시작
[ default 2023-04-27 목요일 09:46:01 670 ] Form1 -> Form1_Shown 
[ default 2023-04-27 목요일 09:46:02 236 ] RealTimeView_Page -> PanelSettings 
[ default 2023-04-27 목요일 09:46:02 565 ] RealTimeView_Page -> RealTimeView_Page_Load 
[ default 2023-04-27 목요일 09:46:02 566 ] RealTimeView_Page -> VideoSetLoad 
[ default 2023-04-27 목요일 09:46:02 567 ] RealTimeView_Page -> cb_TextView_SelectedValueChanged 
[ default 2023-04-27 목요일 09:46:02 569 ] Settings_Page -> XMLSave 
[ default 2023-04-27 목요일 09:46:02 570 ] CameraControl -> CameraOpen 
[ default 2023-04-27 목요일 09:46:02 806 ] CameraControl -> open 
[ default 2023-04-27 목요일 09:46:02 851 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-27 목요일 09:46:02 876 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-27 목요일 09:46:02 891 ] CameraControl -> Start 
[ default 2023-04-27 목요일 09:46:02 961 ] CameraControl -> CameraOpen 
[ default 2023-04-27 목요일 09:46:03 329 ] CameraControl -> open 
[ default 2023-04-27 목요일 09:46:03 340 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-27 목요일 09:46:03 360 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-27 목요일 09:46:03 363 ] CameraControl -> Start 
[ default 2023-04-27 목요일 09:46:03 481 ] CameraControl -> CameraOpen 
