[  2023-05-22 월요일 10:16:05 865 ] 파일 생성 성공
[ ㅏㅏ 2023-05-22 월요일 15:50:29 643 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅏㅏ 2023-05-22 월요일 15:50:29 644 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅏㅏ 2023-05-22 월요일 15:50:40 376 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ ㅏㅏ 2023-05-22 월요일 15:50:40 377 ] VideoAnalysis_Page -> VideoCheck_Play2 
[ ㅏㅏ 2023-05-22 월요일 15:50:41 336 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ ㅏㅏ 2023-05-22 월요일 15:50:41 336 ] VideoAnalysis_Page -> VideoCheck_Play2 
[ ㅏㅏ 2023-05-22 월요일 15:51:51 891 ] Form1 -> NavigationClick 
[ ㅏㅏ 2023-05-22 월요일 15:51:51 902 ] VideoAnalysis_Page -> PageChange 
[ ㅏㅏ 2023-05-22 월요일 15:52:33 235 ] Form1 -> NavigationClick 
[ ㅏㅏ 2023-05-22 월요일 15:52:41 467 ] VideoAnalysis_Page -> FilterClick 
[ ㅏㅏ 2023-05-22 월요일 15:52:47 109 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ ㅏㅏ 2023-05-22 월요일 15:52:47 110 ] VideoAnalysis_Page -> VideoCheck_Play2 
[ ㅏㅏ 2023-05-22 월요일 15:52:47 911 ] VideoAnalysis_Page -> FilterClick 
[ ㅏㅏ 2023-05-22 월요일 15:52:49 256 ] VideoAnalysis_Page -> FilterClick 
[ ㅏㅏ 2023-05-22 월요일 15:52:59 632 ] VideoAnalysis_Page -> FilterClick 
[ ㅏㅏ 2023-05-22 월요일 15:53:01 693 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ ㅏㅏ 2023-05-22 월요일 15:53:01 693 ] VideoAnalysis_Page -> VideoCheck_Play2 
[ ㅏㅏ 2023-05-22 월요일 15:55:16 573 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ ㅏㅏ 2023-05-22 월요일 15:55:16 573 ] VideoAnalysis_Page -> VideoCheck_Play2 
[ ㅏㅏ 2023-05-22 월요일 15:55:17 720 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ ㅏㅏ 2023-05-22 월요일 15:55:17 721 ] VideoAnalysis_Page -> VideoCheck_Play2 
[ ㅏㅏ 2023-05-22 월요일 15:55:48 929 ] Form1 -> NavigationClick 
[ ㅏㅏ 2023-05-22 월요일 15:55:48 929 ] VideoAnalysis_Page -> PageChange 
[ ㅏㅏ 2023-05-22 월요일 15:56:37 187 ] Form1 -> NavigationClick 
[ ㅏㅏ 2023-05-22 월요일 15:56:39 889 ] VideoAnalysis_Page -> FilterClick 
[ ㅏㅏ 2023-05-22 월요일 15:56:46 072 ] VideoAnalysis_Page -> FilterClick 
[ ㅏㅏ 2023-05-22 월요일 17:26:59 412 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ ㅏㅏ 2023-05-22 월요일 17:26:59 423 ] VideoAnalysis_Page -> VideoCheck_Play2 
[ ㅏㅏ 2023-05-22 월요일 17:27:01 064 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ ㅏㅏ 2023-05-22 월요일 17:27:01 065 ] VideoAnalysis_Page -> VideoCheck_Play2 
[ ㅏㅏ 2023-05-22 월요일 17:27:02 110 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ ㅏㅏ 2023-05-22 월요일 17:27:02 111 ] VideoAnalysis_Page -> VideoCheck_Play2 
[ ㅏㅏ 2023-05-22 월요일 17:27:04 308 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ ㅏㅏ 2023-05-22 월요일 17:27:04 311 ] VideoAnalysis_Page -> VideoCheck_Play2 
[ ㅏㅏ 2023-05-22 월요일 17:27:04 940 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ ㅏㅏ 2023-05-22 월요일 17:27:04 940 ] VideoAnalysis_Page -> VideoCheck_Play2 
[ ㅏㅏ 2023-05-22 월요일 17:27:08 066 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
