[  2023-06-21 수요일 10:01:36 828 ] 파일 생성 성공
[ ㅓㅓ 2023-06-21 수요일 16:11:19 756 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-06-21 수요일 16:11:19 757 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅓㅓ 2023-06-21 수요일 16:11:21 283 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ ㅓㅓ 2023-06-21 수요일 16:11:21 283 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ ㅓㅓ 2023-06-21 수요일 16:20:57 717 ] Form1 -> Form1_FormClosing 
[ ㅓㅓ 2023-06-21 수요일 16:20:57 728 ] RealTimeView_Page -> CameraClose 
[ ㅓㅓ 2023-06-21 수요일 16:20:57 737 ] CameraControl -> Stop 
[ ㅓㅓ 2023-06-21 수요일 16:20:59 054 ] CameraControl -> Close 
[ ㅓㅓ 2023-06-21 수요일 16:20:59 091 ] CameraControl -> Stop 
[ ㅓㅓ 2023-06-21 수요일 16:20:59 092 ] CameraControl -> Close 
[ ㅓㅓ 2023-06-21 수요일 16:20:59 092 ] CameraControl -> Stop 
[ ㅓㅓ 2023-06-21 수요일 16:20:59 092 ] CameraControl -> Close 
[ ㅓㅓ 2023-06-21 수요일 16:20:59 093 ] VideoCheck_Page -> VideoClose 
[ ㅓㅓ 2023-06-21 수요일 16:20:59 093 ] VideoAnalysis_Page -> VideoClose 
[ ㅓㅓ 2023-06-21 수요일 16:20:59 530 ] CameraControl -> Finalize 
[ ㅓㅓ 2023-06-21 수요일 16:20:59 530 ] CameraControl -> Close 
[ ㅓㅓ 2023-06-21 수요일 16:20:59 558 ] CameraControl -> Finalize 
[ ㅓㅓ 2023-06-21 수요일 16:20:59 559 ] CameraControl -> Close 
[ ㅓㅓ 2023-06-21 수요일 16:20:59 560 ] CameraControl -> Finalize 
[ ㅓㅓ 2023-06-21 수요일 16:20:59 560 ] CameraControl -> Close 
