[ 2023-04-19 수요일 10:41:48 178 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:41:48 208 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:41:48 238 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:41:48 269 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:42:00 596 ] Settings_Page -> PixelLengthChange 
[ 2023-04-19 수요일 10:42:02 217 ] Settings_Page -> PixelLengthChange 입력 문자열의 형식이 잘못되었습니다.
[ 2023-04-19 수요일 10:44:32 805 ] Settings_Page -> UserTextChange 
[ 2023-04-19 수요일 10:44:32 805 ] Settings_Page -> XMLSave 
[ 2023-04-19 수요일 10:44:42 654 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:44:50 352 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:44:55 153 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:45:06 551 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:45:06 663 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:45:07 679 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:45:08 495 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:45:08 855 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:45:09 407 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:45:09 871 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:45:10 199 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:45:11 698 ] Settings_Page -> PixelLengthChange 
[ 2023-04-19 수요일 10:45:11 700 ] Settings_Page -> XMLSave 
[ 2023-04-19 수요일 10:45:20 839 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:45:21 047 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:45:22 015 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:45:23 559 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:45:23 766 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:45:25 127 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:45:25 360 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:45:25 639 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:45:25 847 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:45:27 014 ] Settings_Page -> PixelLengthChange 
[ 2023-04-19 수요일 10:45:27 015 ] Settings_Page -> XMLSave 
[ 2023-04-19 수요일 10:45:28 591 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:45:28 711 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:45:28 895 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:45:29 830 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:45:29 991 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:45:30 166 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:45:31 855 ] Settings_Page -> PixelLengthChange 
[ 2023-04-19 수요일 10:45:31 856 ] Settings_Page -> XMLSave 
[ 2023-04-19 수요일 10:45:33 343 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:45:33 860 ] Settings_Page -> PixelLengthChange 
[ 2023-04-19 수요일 10:45:33 861 ] Settings_Page -> XMLSave 
[ 2023-04-19 수요일 10:45:35 119 ] Settings_Page -> PixelLengthChange 
[ 2023-04-19 수요일 10:45:35 120 ] Settings_Page -> XMLSave 
[ 2023-04-19 수요일 10:46:38 911 ] Settings_Page -> UserTextChange 
[ 2023-04-19 수요일 10:46:38 912 ] Settings_Page -> XMLSave 
[ 2023-04-19 수요일 10:46:40 343 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:46:41 129 ] Settings_Page -> PixelLengthChange 
[ 2023-04-19 수요일 10:46:41 129 ] Settings_Page -> XMLSave 
[ 2023-04-19 수요일 10:46:51 173 ] Settings_Page -> UserTextChange 
[ 2023-04-19 수요일 10:46:51 173 ] Settings_Page -> XMLSave 
[ 2023-04-19 수요일 10:46:51 703 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:47:06 261 ] Settings_Page -> PixelLengthChange 
[ 2023-04-19 수요일 10:47:06 263 ] Settings_Page -> XMLSave 
[ 2023-04-19 수요일 10:47:10 701 ] Settings_Page -> PixelLengthChange 
[ 2023-04-19 수요일 10:47:10 701 ] Settings_Page -> XMLSave 
[ 2023-04-19 수요일 10:47:11 591 ] Settings_Page -> OnlyDigitPress 
