[  2023-05-09 화요일 09:29:52 472 ] 파일 생성 성공
[ 커피 2023-05-09 화요일 10:20:22 900 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-09 화요일 10:20:28 093 ] VideoAnalysis_Page -> FilterClick 
[ 커피 2023-05-09 화요일 10:20:29 802 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-09 화요일 10:20:29 803 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-09 화요일 10:20:30 655 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ 커피 2023-05-09 화요일 10:20:30 656 ] VideoAnalysis_Page -> VideoCheck_Play2 
[ 커피 2023-05-09 화요일 10:20:46 461 ] VideoAnalysis_Page -> FilterClick 
[ 커피 2023-05-09 화요일 10:20:52 460 ] VideoAnalysis_Page -> FilterClick 
[ 커피 2023-05-09 화요일 10:20:58 276 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-09 화요일 10:20:58 277 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-09 화요일 10:21:02 487 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-09 화요일 10:21:02 488 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-09 화요일 10:21:15 094 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ 커피 2023-05-09 화요일 10:21:15 095 ] VideoAnalysis_Page -> VideoCheck_Play2 
[ 커피 2023-05-09 화요일 10:21:16 145 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ 커피 2023-05-09 화요일 10:21:16 145 ] VideoAnalysis_Page -> VideoCheck_Play2 
[ 커피 2023-05-09 화요일 10:21:38 984 ] VideoAnalysis_Page -> FilterClick 
[ 커피 2023-05-09 화요일 10:42:53 139 ] VideoAnalysis_Page -> FilterClick 
[ 커피 2023-05-09 화요일 10:42:54 679 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-09 화요일 10:42:54 680 ] VideoAnalysis_Page -> VideoCheck_Play1 
