[  2023-05-18 목요일 09:50:31 266 ] 파일 생성 성공
[ default 2023-05-18 목요일 16:58:50 585 ] RealTimeView_Page -> cb_TextView_SelectedValueChanged 
[ default 2023-05-18 목요일 16:58:50 586 ] Settings_Page -> XMLSave 
[ default 2023-05-18 목요일 16:58:50 587 ] CameraControl -> CameraOpen 
[ default 2023-05-18 목요일 16:58:50 832 ] CameraControl -> open 
[ default 2023-05-18 목요일 16:58:50 864 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-05-18 목요일 16:58:50 878 ] CameraControl -> SetEnableImageCallback 
[ default 2023-05-18 목요일 16:58:50 892 ] CameraControl -> Start 
[ default 2023-05-18 목요일 16:58:51 502 ] CameraControl -> CameraOpen 
[ default 2023-05-18 목요일 16:58:51 624 ] CameraControl -> CameraOpen There is no available device.
[ default 2023-05-18 목요일 16:58:53 051 ] Form1 -> Form1_Shown 
[ default 2023-05-18 목요일 16:58:53 117 ] VideoCheck_Page -> PanelSettings 
[ default 2023-05-18 목요일 16:58:53 323 ] VideoAnalysis_Page -> PanelSettings 
[ default 2023-05-18 목요일 16:58:56 185 ] Settings_Page -> WorkUserChange 
[ default 2023-05-18 목요일 16:58:56 340 ] Settings_Page -> WorkUserChange 
[ default 2023-05-18 목요일 16:58:56 344 ] Settings_Page -> WorkUserChange 
[ default 2023-05-18 목요일 16:58:56 346 ] Settings_Page -> WorkUserChange 
[ default 2023-05-18 목요일 16:58:56 525 ] Settings_Page -> WorkUserChange 
[ default 2023-05-18 목요일 16:58:56 527 ] Settings_Page -> WorkUserChange 
[ default 2023-05-18 목요일 16:58:56 667 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-18 목요일 16:58:56 825 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-18 목요일 16:58:56 826 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-18 목요일 16:58:56 827 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-18 목요일 16:58:57 099 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-18 목요일 16:58:57 101 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-18 목요일 16:58:57 191 ] Settings_Page -> WorkUserSet 
[ default 2023-05-18 목요일 17:03:19 747 ] 프로그램 시작
[ default 2023-05-18 목요일 17:03:22 135 ] Form1 -> Form1_Shown 
[ default 2023-05-18 목요일 17:03:22 774 ] RealTimeView_Page -> PanelSettings 
[ default 2023-05-18 목요일 17:03:23 159 ] RealTimeView_Page -> RealTimeView_Page_Load 
[ default 2023-05-18 목요일 17:03:23 161 ] RealTimeView_Page -> VideoSetLoad 
[ default 2023-05-18 목요일 17:03:23 163 ] RealTimeView_Page -> cb_TextView_SelectedValueChanged 
[ default 2023-05-18 목요일 17:03:23 164 ] Settings_Page -> XMLSave 
[ default 2023-05-18 목요일 17:03:23 167 ] CameraControl -> CameraOpen 
[ default 2023-05-18 목요일 17:03:23 441 ] CameraControl -> open 
[ default 2023-05-18 목요일 17:03:23 485 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-05-18 목요일 17:03:23 511 ] CameraControl -> SetEnableImageCallback 
[ default 2023-05-18 목요일 17:03:23 529 ] CameraControl -> Start 
[ default 2023-05-18 목요일 17:03:24 148 ] CameraControl -> CameraOpen 
[ default 2023-05-18 목요일 17:03:24 193 ] CameraControl -> CameraOpen There is no available device.
[ default 2023-05-18 목요일 17:03:34 520 ] Form1 -> Form1_Shown 
[ default 2023-05-18 목요일 17:03:34 563 ] VideoCheck_Page -> PanelSettings 
[ default 2023-05-18 목요일 17:03:34 686 ] VideoAnalysis_Page -> PanelSettings 
[ default 2023-05-18 목요일 17:03:37 140 ] Settings_Page -> WorkUserChange 
[ default 2023-05-18 목요일 17:03:37 265 ] Settings_Page -> WorkUserChange 
[ default 2023-05-18 목요일 17:03:37 617 ] Settings_Page -> WorkUserChange 
[ default 2023-05-18 목요일 17:03:37 777 ] Settings_Page -> WorkUserChange 
[ default 2023-05-18 목요일 17:03:39 210 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-18 목요일 17:03:39 345 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-18 목요일 17:03:39 937 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-18 목요일 17:03:41 017 ] Settings_Page -> WorkUserSet 
[ default 2023-05-18 목요일 17:05:04 435 ] 프로그램 시작
[ default 2023-05-18 목요일 17:05:06 800 ] Form1 -> Form1_Shown 
[ default 2023-05-18 목요일 17:05:07 376 ] RealTimeView_Page -> PanelSettings 
[ default 2023-05-18 목요일 17:05:07 723 ] RealTimeView_Page -> RealTimeView_Page_Load 
[ default 2023-05-18 목요일 17:05:07 724 ] RealTimeView_Page -> VideoSetLoad 
[ default 2023-05-18 목요일 17:05:07 725 ] RealTimeView_Page -> cb_TextView_SelectedValueChanged 
[ default 2023-05-18 목요일 17:05:07 726 ] Settings_Page -> XMLSave 
[ default 2023-05-18 목요일 17:05:07 727 ] CameraControl -> CameraOpen 
[ default 2023-05-18 목요일 17:05:07 955 ] CameraControl -> open 
[ default 2023-05-18 목요일 17:05:07 992 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-05-18 목요일 17:05:08 011 ] CameraControl -> SetEnableImageCallback 
[ default 2023-05-18 목요일 17:05:08 026 ] CameraControl -> Start 
[ default 2023-05-18 목요일 17:05:08 623 ] CameraControl -> CameraOpen 
[ default 2023-05-18 목요일 17:05:08 651 ] CameraControl -> CameraOpen There is no available device.
[ default 2023-05-18 목요일 17:05:24 116 ] Form1 -> Form1_Shown 
[ default 2023-05-18 목요일 17:05:24 179 ] VideoCheck_Page -> PanelSettings 
[ default 2023-05-18 목요일 17:05:24 355 ] VideoAnalysis_Page -> PanelSettings 
[ default 2023-05-18 목요일 17:05:26 779 ] Settings_Page -> WorkUserChange 
[ default 2023-05-18 목요일 17:05:26 890 ] Settings_Page -> WorkUserChange 
[ default 2023-05-18 목요일 17:05:26 893 ] Settings_Page -> WorkUserChange 
[ default 2023-05-18 목요일 17:05:26 894 ] Settings_Page -> WorkUserChange 
[ default 2023-05-18 목요일 17:05:27 017 ] Settings_Page -> WorkUserChange 
[ default 2023-05-18 목요일 17:05:27 020 ] Settings_Page -> WorkUserChange 
[ default 2023-05-18 목요일 17:05:27 138 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-18 목요일 17:05:27 289 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-18 목요일 17:05:27 290 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-18 목요일 17:05:27 291 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-18 목요일 17:05:27 489 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-18 목요일 17:05:27 490 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-18 목요일 17:05:27 492 ] Settings_Page -> WorkUserSet 
[ default 2023-05-18 목요일 17:08:13 524 ] 프로그램 시작
[ default 2023-05-18 목요일 17:08:15 890 ] Form1 -> Form1_Shown 
[ default 2023-05-18 목요일 17:08:16 450 ] RealTimeView_Page -> PanelSettings 
[ default 2023-05-18 목요일 17:08:16 808 ] RealTimeView_Page -> RealTimeView_Page_Load 
[ default 2023-05-18 목요일 17:08:16 808 ] RealTimeView_Page -> VideoSetLoad 
[ default 2023-05-18 목요일 17:08:16 809 ] RealTimeView_Page -> cb_TextView_SelectedValueChanged 
[ default 2023-05-18 목요일 17:08:16 810 ] Settings_Page -> XMLSave 
[ default 2023-05-18 목요일 17:08:16 812 ] CameraControl -> CameraOpen 
