[  2023-05-15 월요일 09:07:38 223 ] 파일 생성 성공
[ default 2023-05-15 월요일 16:14:35 433 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 16:14:35 446 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 16:14:35 448 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 16:14:35 566 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 16:14:35 637 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 16:14:35 810 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 16:14:35 813 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 16:14:35 814 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 16:14:35 881 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 16:14:35 992 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 16:14:36 190 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 16:14:36 196 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 16:14:36 472 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-15 월요일 16:14:36 575 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-15 월요일 16:14:36 699 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-15 월요일 16:14:36 794 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-15 월요일 16:14:36 796 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-15 월요일 16:14:36 799 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-15 월요일 16:14:36 977 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-15 월요일 16:14:36 980 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-15 월요일 16:14:36 980 ] Settings_Page -> WorkUserSet 
[ default 2023-05-15 월요일 17:15:56 819 ] 프로그램 시작
[ default 2023-05-15 월요일 17:15:59 195 ] Form1 -> Form1_Shown 
[ default 2023-05-15 월요일 17:15:59 343 ] RealTimeView_Page -> PanelSettings 
[ default 2023-05-15 월요일 17:15:59 777 ] RealTimeView_Page -> RealTimeView_Page_Load 
[ default 2023-05-15 월요일 17:15:59 777 ] RealTimeView_Page -> VideoSetLoad 
[ default 2023-05-15 월요일 17:15:59 778 ] RealTimeView_Page -> cb_TextView_SelectedValueChanged 
[ default 2023-05-15 월요일 17:15:59 780 ] Settings_Page -> XMLSave 
[ default 2023-05-15 월요일 17:16:16 758 ] Form1 -> Form1_Shown 
[ default 2023-05-15 월요일 17:16:16 832 ] VideoCheck_Page -> PanelSettings 
[ default 2023-05-15 월요일 17:16:16 998 ] VideoAnalysis_Page -> PanelSettings 
[ default 2023-05-15 월요일 17:16:42 655 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 17:16:42 698 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 17:16:42 811 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 17:16:43 010 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 17:16:43 025 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 17:16:43 027 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 17:16:43 102 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 17:16:43 175 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 17:16:43 330 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 17:16:43 335 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 17:16:43 336 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 17:16:43 422 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 17:16:43 492 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 17:16:43 667 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 17:16:43 673 ] Settings_Page -> WorkUserChange 
[ default 2023-05-15 월요일 17:16:44 094 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-15 월요일 17:16:44 140 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-15 월요일 17:16:44 289 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-15 월요일 17:16:44 360 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-15 월요일 17:16:44 361 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-15 월요일 17:16:44 364 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-15 월요일 17:16:44 826 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-15 월요일 17:16:44 830 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-15 월요일 17:16:44 831 ] Settings_Page -> WorkUserSet 
